66,3	93,4	70,1	62,9	58	63,7	55,4
54,3	87	65,9	61,1	60,7	53,5	52
65,6	99,8	78,4	72	65,9	72	62,6
53,2	87	67,1	61,4	60,7	54,3	52,4
61,1	97,2	74,6	69,7	69,3	61,1	61,4
52,4	91,2	67,4	61,8	61,1	55	53,2
53,2	91,9	65,6	60,3	60,7	56,2	53,2
65,9	99,8	76,9	70,8	67,4	72,3	62,6
90,4	68,6	63,3	62,2	55	54,7	53,9
68,6	99,9	78	69,3	73,1	74,6	65,9
81	47,5	59,5	54,7	46,4	53,5	46,4
60,7	98,3	76,5	70,8	62,9	70,5	61,8
81,7	46,4	60,3	54,7	53,2	46,4	45,2
71,2	64,8	97,2	73,5	69	66,3	62,6
86,3	52,4	64,1	57,7	58,8	54,3	49,4
67,1	99,9	75,7	71,2	73,5	67,8	64,8
85,1	50,9	64,8	60,3	59,9	53,2	52
99,9	79,9	68,6	60,3	56,2	47,9	64,1
94,5	66,7	56,9	51,6	48,6	54,3	50,5
90,8	64,4	57,7	49,8	52,4	46	48,6
94,5	67,8	58,4	49	52,4	46	50,9
96	68,2	56,9	48,3	47,5	53,5	49
94,9	68,6	57,7	49,8	49	55	50,9
94,5	67,8	56,5	52	53,9	47,9	49,4
92,7	67,1	53,9	48,3	46,8	52,4	48,6
99,9	73,8	61,8	55	55,8	58,8	46,8
